Frecuencia (Hz)	Nivel (dB)
46,875000	-78,446106
93,750000	-81,286530
140,625000	-86,696350
187,500000	-86,045616
234,375000	-80,169426
281,250000	-76,496506
328,125000	-76,574089
375,000000	-78,266083
421,875000	-79,912292
468,750000	-80,645226
515,625000	-78,796829
562,500000	-78,011330
609,375000	-79,326797
656,250000	-79,339333
703,125000	-78,302361
750,000000	-76,974487
796,875000	-76,558624
843,750000	-76,536865
890,625000	-76,207802
937,500000	-74,371880
984,375000	-73,536209
1031,250000	-73,177353
1078,125000	-71,577744
1125,000000	-71,372131
1171,875000	-71,680763
1218,750000	-70,598373
1265,625000	-69,874725
1312,500000	-68,725418
1359,375000	-67,794319
1406,250000	-68,111359
1453,125000	-67,199867
1500,000000	-66,552605
1546,875000	-65,238686
1593,750000	-65,047577
1640,625000	-65,507034
1687,500000	-65,798363
1734,375000	-65,802956
1781,250000	-65,947739
1828,125000	-65,841743
1875,000000	-65,519928
1921,875000	-65,663261
1968,750000	-65,693321
2015,625000	-65,426300
2062,500000	-64,570633
2109,375000	-64,085022
2156,250000	-63,364891
2203,125000	-62,969746
2250,000000	-63,255257
2296,875000	-63,085510
2343,750000	-62,609608
2390,625000	-61,866730
2437,500000	-61,611881
2484,375000	-61,699100
2531,250000	-61,563133
2578,125000	-60,634750
2625,000000	-59,620022
2671,875000	-58,557171
2718,750000	-56,436886
2765,625000	-54,835903
2812,500000	-52,771362
2859,375000	-50,343670
2906,250000	-49,364437
2953,125000	-49,725075
3000,000000	-46,159546
3046,875000	-43,188622
3093,750000	-41,259258
3140,625000	-39,038879
3187,500000	-39,385220
3234,375000	-38,543591
3281,250000	-37,248554
3328,125000	-36,062305
3375,000000	-35,089039
3421,875000	-34,776707
3468,750000	-34,171021
3515,625000	-32,213417
3562,500000	-31,008177
3609,375000	-29,542608
3656,250000	-29,276876
3703,125000	-28,323217
3750,000000	-27,265907
3796,875000	-28,599443
3843,750000	-28,774263
3890,625000	-28,319334
3937,500000	-29,397305
3984,375000	-31,827705
4031,250000	-33,927639
4078,125000	-33,842720
4125,000000	-33,214275
4171,875000	-33,944000
4218,750000	-34,583088
4265,625000	-36,027225
4312,500000	-36,430870
4359,375000	-35,728580
4406,250000	-35,206238
4453,125000	-35,073273
4500,000000	-36,783886
4546,875000	-39,468143
4593,750000	-39,720348
4640,625000	-40,138710
4687,500000	-40,813095
4734,375000	-42,396103
4781,250000	-44,750324
4828,125000	-46,362236
4875,000000	-47,759556
4921,875000	-48,562233
4968,750000	-47,848488
5015,625000	-47,433758
5062,500000	-46,522552
5109,375000	-45,569637
5156,250000	-44,296001
5203,125000	-40,867573
5250,000000	-43,254642
5296,875000	-46,653683
5343,750000	-46,447311
5390,625000	-49,527351
5437,500000	-49,437458
5484,375000	-43,186104
5531,250000	-43,354588
5578,125000	-46,410015
5625,000000	-48,346573
5671,875000	-47,754757
5718,750000	-48,134991
5765,625000	-45,447067
5812,500000	-45,000660
5859,375000	-49,226795
5906,250000	-51,252148
5953,125000	-52,270493
6000,000000	-49,149452
6046,875000	-49,359432
6093,750000	-50,474068
6140,625000	-52,021439
6187,500000	-53,406593
6234,375000	-53,085934
6281,250000	-54,296246
6328,125000	-53,789284
6375,000000	-50,969841
6421,875000	-50,241566
6468,750000	-50,221214
6515,625000	-52,004223
6562,500000	-55,117313
6609,375000	-53,911423
6656,250000	-52,505329
6703,125000	-51,257950
6750,000000	-51,839779
6796,875000	-51,096504
6843,750000	-51,403572
6890,625000	-52,659664
6937,500000	-50,691036
6984,375000	-49,913467
7031,250000	-49,024521
7078,125000	-49,463745
7125,000000	-49,781975
7171,875000	-49,807304
7218,750000	-50,743832
7265,625000	-49,885658
7312,500000	-50,793941
7359,375000	-49,118443
7406,250000	-45,757847
7453,125000	-43,756912
7500,000000	-45,391445
7546,875000	-47,785652
7593,750000	-50,258152
7640,625000	-50,006107
7687,500000	-51,063744
7734,375000	-54,147293
7781,250000	-54,016590
7828,125000	-55,364155
7875,000000	-56,004765
7921,875000	-56,508915
7968,750000	-56,022881
8015,625000	-54,680340
8062,500000	-55,232403
8109,375000	-56,068272
8156,250000	-56,580948
8203,125000	-57,356335
8250,000000	-57,266575
8296,875000	-57,206150
8343,750000	-57,975060
8390,625000	-59,143658
8437,500000	-60,028103
8484,375000	-61,137993
8531,250000	-63,504532
8578,125000	-64,746658
8625,000000	-64,277321
8671,875000	-64,450409
8718,750000	-64,046638
8765,625000	-64,708191
8812,500000	-65,905228
8859,375000	-67,047371
8906,250000	-67,675568
8953,125000	-68,336143
9000,000000	-68,547966
9046,875000	-68,271805
9093,750000	-68,085655
9140,625000	-67,876724
9187,500000	-69,189728
9234,375000	-69,808662
9281,250000	-70,215370
9328,125000	-71,612885
9375,000000	-71,920326
9421,875000	-71,605110
9468,750000	-72,324394
9515,625000	-72,809807
9562,500000	-72,922096
9609,375000	-73,312805
9656,250000	-73,887505
9703,125000	-74,394699
9750,000000	-74,154648
9796,875000	-73,746353
9843,750000	-74,066544
9890,625000	-74,900192
9937,500000	-75,462669
9984,375000	-75,317207
10031,250000	-75,338188
10078,125000	-75,007164
10125,000000	-75,166901
10171,875000	-74,768600
10218,750000	-74,441307
10265,625000	-73,401237
10312,500000	-74,404427
10359,375000	-74,680954
10406,250000	-73,673409
10453,125000	-73,921997
10500,000000	-75,498909
10546,875000	-75,906792
10593,750000	-75,747284
10640,625000	-75,443916
10687,500000	-75,602562
10734,375000	-76,604599
10781,250000	-77,594574
10828,125000	-77,761780
10875,000000	-77,221344
10921,875000	-77,237679
10968,750000	-77,486885
11015,625000	-77,029770
11062,500000	-77,401009
11109,375000	-77,313431
11156,250000	-77,123367
11203,125000	-77,053070
11250,000000	-77,791794
11296,875000	-77,287392
11343,750000	-78,024055
11390,625000	-79,384079
11437,500000	-79,612427
11484,375000	-79,976067
11531,250000	-80,107674
11578,125000	-80,231194
11625,000000	-80,875870
11671,875000	-80,846901
11718,750000	-81,175987
11765,625000	-81,440201
11812,500000	-81,766998
11859,375000	-81,795303
11906,250000	-81,567978
11953,125000	-82,090271
12000,000000	-82,776466
12046,875000	-82,760101
12093,750000	-82,950317
12140,625000	-83,401283
12187,500000	-83,003418
12234,375000	-82,870064
12281,250000	-83,218071
12328,125000	-83,454948
12375,000000	-83,419235
